Ticker,Industry,Score,PB,NCAV,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BAB_1,BIG,Beta,Performance
ASTL,138,0.006896859298068877,-83.3709,-38.5264,303.1465,282.5229,70.1273,880.1213,817.67,601.2733,112.0452,198.5313,148.0199,58.4658,39.7793,37.073,24.3111,,2.3026,,0.4395
HUBS,33,0.006796362700287135,-2457.3183,-98.9904,6.0748,-0.4391,-0.323,-49.3807,-99.444,-103.2303,33.0841,4214.0226,-243.6983,-7.938,82.2053,,,-1.5169,2.3026,1.5169,0.1059
LUNR,66,0.0067134762770887915,999999.0,-207.5226,15.9101,-8.3981,-7.2045,25.0631,-153.5925,-172.0451,18.4645,999999.0,999999.0,999999.0,12.139,,,,2.0794,,-0.4025
NTRA,78,0.0066311445156349005,-688.5809,-88.5439,8.4188,-12.5147,-9.0019,-29.0455,-178.0294,-190.0188,31.1336,214.9131,-255.5767,-61.9852,44.3741,,,-1.2778,2.1972,1.2778,0.4176
CTRA,95,0.006512222679919148,-149.5365,-127.8661,29.3622,25.492,21.8449,145.6441,112.2154,118.4489,158.3812,42.359,29.4205,32.6661,63.5094,55.1381,43.7634,-0.7872,2.3026,0.7872,-0.0167
CCRD,33,0.006225259498941468,-328.7451,-79.487,25.0541,13.4741,8.7792,85.7419,6.6531,-12.2082,44.5967,135.4496,58.2761,28.8611,53.18,28.6003,21.8276,-0.8605,2.0794,0.8605,-0.3382
NBN,73,0.006061838115452541,-111.4681,-878.1658,,,15.777,,,57.7696,16.0289,,,17.5863,,,42.9597,-0.9039,2.1972,0.9039,0.2676
TENB,33,0.006026915580145842,-1906.2072,-104.9073,10.658,-1.3678,-1.3215,-14.1497,-106.5279,-113.2147,26.2527,807.9418,-82.9529,-25.19,77.3432,,,-1.3767,2.1972,1.3767,-0.0372
GSL,75,0.005870745441385721,-57.8641,-258.5851,24.5125,23.1553,41.8953,234.5508,208.0497,318.9532,50.1742,18.8797,14.2675,24.2423,55.3504,52.2857,38.7601,-0.9379,2.1972,0.9379,0.121
CNOBP,73,0.005758773038115736,-48.0734,-1594.0365,,,24.1728,,,141.7283,13.4824,,,11.6207,,,43.4355,,2.1972,,0.1544
SEVN,124,0.005605962372843766,-46.8997,-473.1401,,,17.4314,,,74.3144,12.7973,,,8.1753,,,65.1059,-0.9281,2.0794,0.9281,0.2481
VTEX,33,0.0055936157886196675,-343.8794,-78.3757,14.8179,-7.059,-4.7806,13.883,-117.1473,-147.8057,25.0899,281.144,-107.1453,-16.4394,60.9477,,,,2.1972,,0.338
MRNA,14,0.005460609199302371,-207.9922,-83.0544,45.055,31.5342,19.2586,195.6026,114.3643,92.5864,4.2999,145.9603,81.7265,40.0565,73.0079,51.0985,41.5514,-0.7554,2.3979,0.7554,0.089
ACT,137,0.0052583190170088934,-101.8446,-138.5064,999999.0,999999.0,17.205,,,72.0504,-2.2596,999999.0,999999.0,17.5224,,,65.6311,,2.3026,,0.0735
SPRO,19,0.005169662000787739,-82.2068,9.0642,999999.0,999999.0,-59.4846,,-316.9541,-694.846,1482.3779,999999.0,999999.0,-48.9004,,,,-0.8053,2.0794,0.8053,0.2773
CHCO,73,0.005146406664199795,-219.0972,-518.6423,,,8.046,,,-19.5398,12.4882,,,17.6286,,,41.3963,-0.8396,2.1972,0.8396,0.2412
VLYPO,73,0.005104382881726323,-148.7351,-636.3517,,,6.5601,,,-34.3994,36.3891,,,9.7571,,,33.5419,-0.8636,2.3026,0.8636,0.0751
VLYPP,73,0.005104372024694582,-129.3194,-716.8782,,,7.545,,,-24.5502,36.3891,,,9.7571,,,33.5419,-0.8563,2.3026,0.8563,0.0761
CARG,45,0.004987662226074276,-264.5959,-79.2456,40.8872,6.7452,4.365,178.9438,-36.2762,-56.3496,73.9628,217.8475,28.751,11.5497,39.7305,6.5544,5.3829,-1.2455,2.3026,1.2455,0.3556
LMND,118,0.004919854868534281,-91.429,-203.9613,999999.0,999999.0,-29.7588,,,-397.5875,99.9221,999999.0,999999.0,-27.2081,,,,-1.6934,2.1972,1.6934,0.4895
GRVY,123,0.004749243548910671,-206.5241,-54.7377,57.3324,30.8328,12.8913,180.0432,73.6231,28.9125,13.2717,999999.0,999999.0,26.6235,43.8037,23.5572,19.6206,-0.8196,2.1972,0.8196,-0.0234
AEIS,66,0.004689627126795048,-356.3458,-91.6935,18.1879,6.4595,5.0898,44.4786,-47.2358,-49.1018,26.75,68.8792,19.5702,18.1374,36.6044,13.0002,10.4796,-1.2821,2.3026,1.2821,0.0403
BKKT,55,0.004508551625947061,-27.2105,143.6693,59.3996,-193.0227,-1750.7384,376.9074,-1651.6793,-17607.3839,50.9207,56.4408,-146.7265,-476.3841,97.0529,,,,2.0794,,0.8761
PNRG,95,0.00450756679398657,-151.0203,-116.3148,30.9467,20.3061,22.2656,136.752,57.8697,122.6555,89.2833,48.702,25.5653,33.6255,44.3375,29.0928,34.4243,-0.7394,2.1972,0.7394,-0.0869
AMAL,73,0.004492502843341823,-99.2752,-1551.5457,,,17.1259,,,71.2587,31.5819,,,17.0017,,,32.4683,-1.0276,2.1972,1.0276,0.5652
ASM,82,0.00430975339479997,-59.1548,-92.9619,29.1531,17.0579,10.596,118.7065,32.4898,5.9601,289.4361,16.4249,7.6884,6.268,34.5079,20.1911,14.0762,-0.9915,2.0794,0.9915,0.0612
CADL,14,0.004278853221914735,-63.0352,45.811,999999.0,999999.0,-49.9897,,-858.6761,-599.8969,0.0,999999.0,999999.0,-31.5111,,,,,1.7918,,0.3942
OTTR,46,0.004275432401998154,-241.0555,-140.4913,15.641,10.7045,9.7474,31.2339,-17.8546,-2.5262,22.005,29.5541,16.1811,23.4966,39.0695,26.7386,19.5882,-0.9882,2.3026,0.9882,0.1663
FIGS,7,0.004272537400995348,-320.9581,-72.6441,42.8124,4.5494,3.1367,203.2717,-53.3161,-68.633,20.5543,239.5583,20.365,10.0675,70.0742,7.4463,6.1248,,2.1972,,0.1282
EDU,102,0.004032980040564241,-2504.3117,-98.0663,1.7309,0.2071,0.2584,-82.7516,-94.4607,-97.4164,-3.4614,999999.0,999999.0,6.4702,52.9836,6.3396,8.2336,-0.8813,2.3026,0.8813,0.2124
PXLW,132,0.003987698444194966,-83.9093,-24.0489,82.2365,-38.5433,-21.268,401.5151,-293.887,-312.6797,27.3021,232.5556,-87.1968,-17.8458,51.1519,,,-1.1509,2.0794,1.1509,0.1545
ALNY,19,0.003873438891921738,999999.0,-103.9653,4.1358,-3.7381,-4.0653,-63.3672,-123.0192,-140.6533,22.875,999999.0,999999.0,999999.0,83.7272,,,-0.8738,2.3026,0.8738,0.0892
GROY,114,0.0038615818069962283,-33.5481,-175.2888,1.2499,-9.9612,-7.7207,-87.5781,-174.853,-177.2066,2978.7234,0.4118,-2.6252,-2.5901,75.6047,,,,1.9459,,0.16
HIPO,118,0.0038359119728999702,-29.2803,-661.2885,999999.0,999999.0,-149.7076,,,-1597.0761,31.25,999999.0,999999.0,-43.8349,,,,,2.1972,,0.2056
GRND,34,0.003830389062366139,-25095.0832,-138.4978,10.5011,0.9523,-0.0006,-21.5248,-124.3519,-100.0055,33.7249,40.3801,2.9296,-0.1382,73.7046,6.6841,,,2.1972,,0.4608
CDZI,147,0.0038134713334596654,-512.19,-136.3684,-0.264,-7.7255,-11.33,-124.8866,-197.8916,-213.3001,166.1348,-0.772,-18.0719,-58.0311,,,,-1.1477,1.9459,1.1477,-0.0764
FRPT,107,0.003686755898293637,-302.1728,-94.4904,6.2335,-1.7418,-1.4239,-47.9969,-109.083,-114.239,39.92,20.6971,-4.6267,-4.3026,31.248,,,-1.1174,2.1972,1.1174,0.3481
DFLI,66,0.003673858403673851,-620.3108,-106.3971,34.6808,-50.4883,-48.8596,181.3371,-514.9536,-588.5955,10.5782,193.5267,-225.3884,-303.0811,27.3829,,,,2.0794,,-0.6156
FBP,73,0.003671533779660888,-175.5484,-843.8424,,,15.3877,,,53.8774,8.4834,,,27.0129,,,40.3878,-1.1833,2.1972,1.1833,0.2106
PERF,33,0.0036673405086312585,-206.0277,-50.5012,22.0375,-38.9505,-34.4526,37.0982,-200.128,-444.5263,16.0451,999999.0,999999.0,-70.982,84.926,,,,2.0794,,-0.0508
OSBC,73,0.003657348034541401,-127.3582,-1024.0881,,,12.4705,,,24.7048,83.5503,,,15.8822,,,29.9028,-1.0351,2.1972,1.0351,0.1365
EXEEL,95,0.00364175411892524,-100.8887,-139.098,67.0278,30.6293,31.7303,576.6371,191.7193,217.303,119.6353,67.4775,24.6678,32.0123,71.275,32.5701,25.5248,,2.3979,,-0.1342
PCB,73,0.003623644694461861,-60.4977,-1127.224,,,19.4754,,,94.7543,8.9567,,,11.7822,,,37.9545,-0.9595,2.1972,0.9595,0.2122
MPWR,132,0.0036228748141171377,-1277.4828,-95.1325,5.0954,2.5599,1.9701,-57.1859,-76.768,-80.299,48.547,112.6592,45.2793,25.1678,58.4429,29.3613,23.4066,-1.6241,2.3026,1.6241,0.317
UFI,140,0.003501013946567452,-39.0004,-35.7717,6.8109,-15.6998,-28.8049,-75.4019,-373.7512,-388.0489,-23.5647,3.5034,-6.4605,-11.234,2.2839,,,-1.463,2.1972,1.463,-0.053
MCB,73,0.0034780298957018917,-66.639,-1583.0254,,,20.1991,,,101.9906,41.535,,,13.4605,,,30.3101,-2.1542,2.1972,2.1542,0.4564
ACDC,99,0.0034511253982428434,-40.8188,-222.302,17.6401,11.5974,51.0465,296.5974,-52.0804,410.4654,185.7008,31.303,16.4641,20.8366,28.9207,19.0139,11.6029,,2.3026,,-0.2184
PRI,72,0.00344048605669398,-337.0708,-284.1771,,,8.397,,,-16.0297,-1.9294,,,28.3039,,,21.6344,-1.0656,2.3026,1.0656,0.0915
TRUP,78,0.003434792022924192,-374.1329,-89.7555,12.3511,4.7259,-3.0955,-1.0317,-53.8644,-130.9546,20.5609,80.2028,24.5506,-11.5811,20.4799,7.8363,,-1.8283,2.1972,1.8283,0.1045
GCBC,12,0.0034275956970354566,-213.0605,-744.04,,,7.3396,,,-26.6035,4.5935,,,15.6379,,,39.0677,-0.8447,2.0794,0.8447,0.1398
INDV,19,0.0033884537137539353,-5852.6264,-114.9422,32.1634,9.2202,-2.3854,122.8931,-20.4982,-123.8539,13.9064,999999.0,999999.0,-139.6078,83.2408,23.8624,,-1.136,2.1972,1.136,-0.2926
LMAT,79,0.003337308483726608,-446.3317,-89.4585,9.413,2.6863,1.8372,-22.9901,-73.0859,-81.6284,4.68,56.5447,12.9097,8.1998,64.8904,18.5189,13.6046,-1.0287,2.1972,1.0287,0.0309
LPRO,55,0.003327391697265849,-413.0754,-86.7711,19.4167,11.8738,8.5121,51.7449,-4.6849,-14.8789,-16.7216,102.4511,50.121,35.1614,88.8816,54.3532,41.6673,-1.2867,2.1972,1.2867,0.1842
LZ,45,0.003315439325874376,-1431.4163,-100.8803,22.115,-2.2441,-1.8714,69.7836,-107.0092,-118.7138,7.8074,999999.0,999999.0,-26.7873,65.9513,,,,2.1972,,0.0225
SMR,81,0.0033133247349394065,-112.8823,-31.944,2.1624,-110.8382,-36.21,-54.8654,-654.5979,-462.1,312.4389,47.7239,-1956.9879,-40.8747,38.0125,,,,2.0794,,-0.3038
PFG,1,0.0032856903142465645,-154.6876,-1864.5247,999999.0,999999.0,30.1203,,,201.2029,21.5438,999999.0,999999.0,46.5923,,,27.3128,-1.1555,2.3979,1.1555,0.137
HRZN,55,0.0032360542292555017,-77.9205,-280.6984,,,7.0497,,,-29.5032,-19.9122,,,5.4931,,,65.6587,-1.0817,2.0794,1.0817,0.1595
TCBI,73,0.0030481239311092347,-92.5108,-997.1877,,,12.2201,,,22.2007,11.0837,,,11.3049,,,35.3622,-1.2603,2.1972,1.2603,0.1048
CMPO,55,0.0030133507509209367,999999.0,-522.7957,21.3595,11.1731,130.1094,870.4626,-130.3692,1201.0937,41.2498,419.5202,175.5596,999999.0,58.0338,30.3573,28.7839,,2.1972,,-0.148
PLUS,130,0.0030029853366060916,-221.5528,-70.1309,28.6719,9.4347,7.5228,134.739,-25.5393,-24.7724,13.5473,60.5911,15.9504,16.6669,25.0288,8.2359,6.3055,-1.1651,2.3026,1.1651,0.243
CAKE,127,0.002982455376692117,-492.8198,-248.5321,71.432,5.6084,1.8285,587.1885,-68.667,-81.7146,12.8304,198.4135,12.4625,9.0114,38.7593,3.0431,0.7966,-1.1274,2.3026,1.1274,0.1709
IBKR,70,0.0028970228337713033,-75.0205,-105.566,14.8418,13.5897,18.3437,49.4555,23.0142,83.4367,47.2447,19.9218,14.593,13.7615,85.1796,77.994,39.8802,-1.0269,2.3026,1.0269,-0.0118
OFLX,67,0.002881936277350316,-1050.4489,-93.0409,11.0269,4.3677,3.3149,-11.1938,-61.7949,-66.8512,-3.4797,233.9558,74.1344,34.8211,62.4009,24.7165,19.7496,-1.0024,2.1972,1.0024,-0.0923
TSM,132,0.002793843253253436,-2327.44,-99.9718,2.0066,1.6686,1.3477,-83.0659,-85.7415,-86.5226,42.615,61.5759,40.9629,31.3677,59.5592,49.5265,40.4285,-1.1325,2.3979,1.1325,0.1638
PBF,69,0.0027686197511181225,-125.0617,-128.8465,75.3954,67.7215,45.0107,493.7971,433.5484,350.107,71.8329,97.2379,69.8726,56.2911,9.9905,8.9737,6.0774,-1.0882,2.3979,1.0882,-0.1454
BRBR,107,0.002603582501331864,999999.0,-111.7152,6.5502,3.2984,2.1003,-55.2686,-85.4754,-78.9966,11.1838,81.5072,32.8348,999999.0,31.8052,16.0157,8.783,-0.7719,2.3026,0.7719,0.3337
PB,73,0.0025625280748075943,-67.7404,-782.8825,,,11.7434,,,17.4343,1.3533,,,7.955,,,47.8817,-0.9751,2.3026,0.9751,0.2963
MED,107,0.0025144241068331876,-530.9427,-90.5427,155.0521,25.1265,17.8873,1018.9335,90.2513,78.8728,4.7501,1693.1896,219.5074,94.9712,71.3393,11.5607,9.2111,-1.0242,2.3026,1.0242,-0.0724
NWFL,73,0.002479464469389723,-112.7061,-1098.3194,,,15.4571,,,54.5708,6.3184,,,17.4211,,,37.1612,-0.754,2.0794,0.754,0.2653
BWIN,137,0.0024540107166372968,-122.1898,-210.538,7.8669,0.038,-4.3665,-84.5723,-227.4782,-143.6654,73.132,10.4466,0.0404,-5.3355,25.7915,0.1247,,-1.2007,2.1972,1.2007,0.0437
BCPC,74,0.0024104651733301364,-417.3127,-108.7682,6.5379,3.3846,2.7327,-52.2523,-79.8886,-72.6735,17.9388,21.3711,8.8508,11.4037,29.7606,15.4067,11.3544,-0.9263,2.1972,0.9263,0.1943
DKS,105,0.002348217836508112,-330.7575,-116.478,53.7815,18.6366,13.2569,315.0738,46.8366,32.5686,0.6087,200.1341,55.4811,43.8481,34.6417,12.0042,8.9504,-1.2588,2.3979,1.2588,0.3833
ENPH,132,0.0023425652430917273,-1930.9941,-99.5836,6.2397,2.8852,2.2685,-49.0693,-75.3625,-77.315,68.652,193.723,71.6608,43.8045,41.8128,19.3339,15.5153,-1.3611,2.3026,1.3611,0.1232
CYBR,33,0.0023148854609210826,-995.6088,-100.5657,7.314,-2.3945,-1.6235,-39.1224,-112.3623,-116.2352,17.6556,158.818,-41.5953,-16.1639,78.698,,,-1.3161,2.1972,1.3161,0.3134
GRMN,66,0.0022021817206244834,-308.7557,-85.6745,15.8541,5.8058,4.4475,24.7983,-49.493,-55.5247,-2.4586,59.0669,17.3043,13.732,57.7492,21.1478,17.5294,-0.9677,2.3026,0.9677,0.2298
UFPI,59,0.002176313060509471,-235.5578,-79.8432,30.5597,16.3216,12.1935,137.9381,29.1887,21.9347,11.4705,78.2658,33.4407,28.7227,18.5884,9.9279,7.7685,-1.1225,2.3026,1.1225,0.2154
MRK,19,0.0021023601783586115,-530.8038,-108.267,15.979,6.9767,5.3809,29.8319,-47.3612,-46.1906,21.721,65.881,23.0118,28.5622,70.6307,30.8385,22.1905,-0.6818,2.3979,0.6818,0.1122
CPB,107,0.0020707516270737645,-294.9351,-158.148,19.0935,8.5878,8.3529,74.592,-44.2587,-16.4713,9.2852,35.8574,12.9023,24.6355,31.1745,14.0216,9.6441,-0.5406,2.3026,0.5406,0.1433
ROL,42,0.0020466370135349427,-1386.3454,-102.6871,7.9158,2.815,2.272,-36.5892,-77.3018,-77.2803,11.2001,113.0976,32.1753,31.4974,51.4657,18.3019,14.8056,-0.8142,2.3026,0.8142,0.1863
CPAY,123,0.0020441263085962304,-738.5625,-126.5117,10.924,5.9356,5.4369,-16.3707,-68.1874,-45.6313,20.9403,32.6949,14.212,40.1547,77.6867,42.2115,29.7779,-1.1411,2.3026,1.1411,0.1004
EXR,124,0.002040770163672782,-359.6963,-149.744,6.4033,4.566,5.1377,-75.5622,-98.3344,-48.6233,21.9866,12.8593,7.3356,18.48,75.6309,53.9298,39.1683,-1.0161,2.3026,1.0161,0.3939
FTEK,112,0.001901777044017176,-77.0228,-7.5302,141.4912,-18.5568,-3.215,245.8619,-59.1954,-132.1503,11.0465,62.8265,-6.5918,-2.4763,43.2167,,,-0.8247,2.0794,0.8247,-0.0789
LQDT,123,0.0018475430857150974,-370.8644,-99.5504,33.8069,4.8203,6.6517,141.326,-50.9385,-33.4826,8.7442,283.8466,32.3774,24.6689,57.3623,8.1789,13.6127,-0.7478,2.1972,0.7478,-0.0462
OEC,74,0.00184097548622731,-268.7631,-151.5592,21.4819,9.4342,10.1855,121.5846,-41.4998,1.8549,31.2969,34.1579,12.0009,27.3748,22.0986,9.7051,6.1923,-1.1452,2.3026,1.1452,0.3031
LCID,9,0.0018234480823889922,-232.9908,-85.5538,-12.6222,-31.5462,-10.2943,-163.0691,-285.905,-202.9429,2143.2998,-42.5695,-85.1138,-23.9847,,,,-1.3484,2.1972,1.3484,-0.2509
SB,75,0.0018155566987729077,-46.1749,-187.1239,31.9443,28.0852,38.7293,286.9287,229.9819,287.2925,4.9399,19.575,13.7681,17.8832,59.8337,52.6054,39.3279,-0.9591,2.1972,0.9591,0.2139
APAM,71,0.0017877399849238185,-517.5445,-125.9742,20.5128,14.6166,11.6252,70.3226,18.576,16.2516,-19.0632,102.6494,58.515,60.1654,48.6168,34.6423,25.1155,-1.2059,2.1972,1.2059,0.2173
EHC,64,0.0017773862305527322,-352.1957,-145.2198,17.7912,6.3952,5.4996,63.6104,-73.3924,-45.0037,8.3115,38.0543,10.9431,19.3695,40.3164,14.492,8.2932,-0.9358,2.3026,0.9358,0.0099
BSBK,12,0.0017401308623254564,-72.0954,-905.8972,,,7.5413,,,-24.5874,10.9149,,,5.4369,,,31.3747,-0.6862,2.0794,0.6862,0.1129
AREN,45,0.0016705152181274818,999999.0,-330.1888,49.5609,-31.3239,-71.235,684.9086,-809.8918,-812.3504,16.8103,181.2289,-91.6333,999999.0,39.8362,,,-0.9471,2.1972,0.9471,-0.4524
MATV,109,0.001527604587352875,-58.7322,-314.7761,13.4121,-0.9248,-11.1459,24.0348,-353.7725,-211.4595,75.8784,11.0541,-0.6098,-6.5463,18.6939,,,-1.0416,2.3026,1.0416,0.1767
RPD,33,0.0015147515302759915,999999.0,-133.8897,14.3128,-3.3936,-3.5394,17.2535,-151.2735,-135.3941,27.9563,116.3959,-22.0786,999999.0,68.712,,,-1.7277,2.1972,1.7277,0.1877
DOOO,67,0.0014514032847907949,-1526.4473,-130.0473,23.2636,12.6696,11.3135,112.2146,1.768,13.1346,31.1916,82.3688,35.8872,172.6939,24.9108,13.5667,9.2962,-1.1161,2.3026,1.1161,-0.0587
SG,127,0.0014381738543302461,-243.5281,-101.5103,7.024,-16.6817,-11.4774,-32.7863,-174.7173,-214.7743,38.3174,33.0544,-62.8025,-27.9508,14.7384,,,,2.1972,,-0.0666
CVLT,33,0.0014265705009498854,-1619.7491,-101.0466,23.8099,1.9456,-0.4077,81.8414,-76.374,-104.0771,1.3314,999999.0,999999.0,-6.6038,88.0834,7.1977,,-0.9281,2.1972,0.9281,0.1271
AME,66,0.0013702859833481767,-447.7345,-106.5945,6.0405,4.2256,3.4144,-54.8243,-70.2287,-65.8564,10.89,22.5435,12.616,15.2873,34.8794,24.3994,18.583,-0.9977,2.3026,0.9977,0.1066
ROAD,83,0.0013586532012964335,-418.6349,-111.3555,6.1953,1.4116,1.1868,-59.424,-104.5123,-88.1321,42.925,17.5021,3.1903,4.9683,10.7018,2.4384,1.74,-1.1125,2.3026,1.1125,0.1685
AM,92,0.0013364597398649134,-225.4142,-171.0001,7.3222,6.5147,7.1834,-69.5967,-80.4514,-28.1661,2.2483,10.9473,7.7919,16.1924,61.3703,54.6018,35.8337,-0.7548,2.1972,0.7548,0.0995
UBSI,73,0.0012703828756045422,-74.7209,-840.0476,,,11.2794,,,12.7936,3.2874,,,8.428,,,36.6003,-1.0412,2.3026,1.0412,0.4022
NN,66,0.0011953605493688752,-505.1193,-91.4528,-1.6658,-13.8543,-6.1214,-102.1807,-190.0983,-161.2141,430.5405,-16.2749,-108.2837,-30.9204,,,,,1.9459,,-0.0872
SNOW,33,0.0011325456063436446,-893.7184,-94.0171,3.0039,-1.8768,-1.3357,-69.7577,-105.6113,-113.3567,69.4098,92.2897,-46.128,-11.9371,65.2634,,,-1.5684,2.3026,1.5684,0.251
ARCC,55,0.0011263712744780058,-86.8101,-254.8337,,,6.3173,,,-36.8272,-55.8403,,,5.484,,,70.7152,-0.8894,2.1972,0.8894,0.0703
RELX,123,0.0011157295649637858,-1229.0363,-119.5197,10.5255,4.4028,3.6638,-17.9159,-73.4709,-63.3621,18.0701,55.2568,18.4912,45.0293,64.3985,26.9379,19.7638,-0.88,2.3979,0.88,0.1585
ACHC,78,0.0010761602746584117,-215.6576,-125.2316,32.8879,6.1276,4.7843,198.9868,-62.1949,-52.1571,12.7897,59.9218,8.9316,10.3177,96.1615,17.9166,11.4662,-1.0225,2.3026,1.0225,0.1247
HITI,105,0.0010645054677922382,-107.4021,-127.9555,52.9801,-10.5554,-33.9088,354.5827,-201.9521,-439.0879,98.4575,58.3976,-9.3078,-36.4188,28.4297,,,,2.1972,,0.0057
LOB,73,0.0009523011114938096,-152.4484,-831.5119,,,13.6087,,,36.0872,-11.3413,,,20.7463,,,42.9388,-1.6104,2.1972,1.6104,0.5894
PACB,18,0.0008949796370068626,-323.9212,-118.7466,2.5152,-15.6352,-13.7876,-85.4076,-240.6607,-237.876,-1.6926,7.1157,-35.3869,-44.661,38.2178,,,-1.6776,2.1972,1.6776,0.1913
AMSF,118,0.000871301476851157,-248.5466,-220.6448,,,6.8592,,,-31.408,-6.7466,999999.0,999999.0,17.0483,,,18.3638,-0.7499,2.1972,0.7499,0.0251
GTN,22,0.000817098633208122,-19.8653,-1455.4763,18.8056,13.0112,89.3945,697.1249,56.5131,793.9446,52.8014,15.5895,8.6288,17.7585,39.6667,27.4444,13.6444,-1.741,2.3026,1.741,0.3695
KFY,42,0.0007782286231504924,-143.3112,-107.1794,138.0447,19.0788,9.9871,797.5738,41.7948,-0.1286,7.9449,223.8063,24.7454,14.3127,91.5885,12.6582,8.3441,-1.0216,2.3026,1.0216,0.2361
MRC,66,0.0007682408439756595,-111.6437,-97.7033,39.1873,9.0587,10.1538,384.6003,-49.5938,1.5376,19.9175,55.6721,10.2955,11.336,18.2671,4.2227,2.6275,-1.1425,2.3026,1.1425,0.1345
NREF,124,0.0007529082679929505,-37.1725,-3855.8183,,,5.6128,,,-43.8724,-61.1022,,,2.0864,,,84.1252,-0.9206,2.0794,0.9206,0.0967
TREX,59,0.0007469173597907788,-1280.1267,-101.9316,5.9018,3.8298,2.976,-54.4537,-71.5533,-70.2404,-7.595,55.4912,28.8076,38.096,36.5256,23.7023,17.8538,-1.4182,2.3026,1.4182,0.3227
XP,70,0.0006939251701475715,-369.0757,-257.1947,1.9293,-6.2377,4.3812,-76.8023,-136.1399,-56.1879,-2.6795,9.7864,-25.3133,16.17,18.2697,,45.6831,-1.4929,2.3026,1.4929,0.1531
PEN,79,0.0006666125033123454,-910.4104,-95.448,6.0097,0.0683,0.0342,-50.8486,-97.3973,-99.6576,13.3152,66.0075,0.6001,0.3117,63.1786,0.718,0.3675,-1.0181,2.1972,1.0181,0.0257
FTS,46,0.0006315914089634889,-101.001,-254.5123,12.9017,4.9853,6.2521,7.6562,-143.2194,-37.479,17.9421,13.8232,4.2731,6.3147,64.9835,25.11,13.2185,-0.8168,2.3026,0.8168,0.1193
