Symbol,Sector,Industry
ALE,Utilities,Power Generation
ALEC,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALEX,Real Estate,Real Estate Investment Trusts
ALG,Industrials,Industrial Machinery/Components
ALGM,Technology,Semiconductors
ALGN,Health Care,Industrial Specialties
ALGS,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALGT,Consumer Discretionary,Air Freight/Delivery Services
ALHC,Health Care,Medical Specialities
ALIT,Real Estate,Real Estate
ALK,Consumer Discretionary,Air Freight/Delivery Services
ALKS,Health Care,Biotechnology: Pharmaceutical Preparations
ALKT,Technology,Computer Software: Prepackaged Software
ALL,Finance,Property-Casualty Insurers
ALLE,Consumer Discretionary,Diversified Commercial Services
ALLO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLT,Telecommunications,Computer Communications Equipment
ALLY,Finance,Major Banks
ALM,Basic Materials,Other Metals and Minerals
ALMS,Health Care,Biotechnology: Pharmaceutical Preparations
ALMU,Technology,Semiconductors
ALNT,Industrials,Electrical Products
ALNY,Health Care,Biotechnology: Pharmaceutical Preparations
ALOT,Technology,Computer peripheral equipment
ALRM,Technology,Computer Software: Prepackaged Software
ALRS,Finance,Major Banks
ALSN,Consumer Discretionary,Auto Parts:O.E.M.
ALT,Health Care,Biotechnology: Pharmaceutical Preparations
ALTG,Industrials,Industrial Machinery/Components
ALTI,Finance,Investment Managers
ALTO,Industrials,Major Chemicals
ALTS,Finance,Finance: Consumer Services
ALV,Consumer Discretionary,Auto Parts:O.E.M.
ALVO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALVOW,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALX,Real Estate,Real Estate Investment Trusts
ALXO,Health Care,Biotechnology: Pharmaceutical Preparations
AM,Utilities,Natural Gas Distribution
AMAL,Finance,Major Banks
AMAT,Technology,Semiconductors
AMBA,Technology,Semiconductors
AMBC,Finance,Property-Casualty Insurers
AMBI,Industrials,Environmental Services
AMBP,Industrials,Containers/Packaging
AMBQ,Technology,Semiconductors
AMC,Consumer Discretionary,Movies/Entertainment
AMCR,Consumer Discretionary,Miscellaneous manufacturing industries
AMCX,Telecommunications,Cable & Other Pay Television Services
AMD,Technology,Semiconductors
AME,Industrials,Industrial Machinery/Components
AMG,Finance,Investment Managers
AMGN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMH,Real Estate,Real Estate Investment Trusts
AMKR,Technology,Semiconductors
AMLX,Health Care,Biotechnology: Pharmaceutical Preparations
AMN,Consumer Discretionary,Professional Services
AMP,Finance,Investment Managers
AMPG,Telecommunications,Telecommunications Equipment
AMPH,Health Care,Biotechnology: Pharmaceutical Preparations
AMPL,Technology,Computer Software: Prepackaged Software
AMPX,Miscellaneous,Industrial Machinery/Components
AMPY,Energy,Oil & Gas Production
AMR,Energy,Coal Mining
AMRC,Consumer Discretionary,Engineering & Construction
AMRK,Industrials,Other Specialty Stores
AMRN,Health Care,Biotechnology: Pharmaceutical Preparations
AMRX,Health Care,Biotechnology: Pharmaceutical Preparations
AMRZ,Industrials,Building Materials
AMSC,Consumer Discretionary,Metal Fabrications
AMSF,Finance,Property-Casualty Insurers
AMT,Real Estate,Real Estate Investment Trusts
AMTB,Finance,Major Banks
AMTD,Finance,Finance: Consumer Services
AMTM,Real Estate,Real Estate
AMTX,Industrials,Major Chemicals
AMWD,Basic Materials,Forest Products
AMWL,Real Estate,Real Estate
AMX,Telecommunications,Telecommunications Equipment
AMZN,Consumer Discretionary,Catalog/Specialty Distribution
AN,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ANAB,Health Care,Biotechnology: Pharmaceutical Preparations
ANDE,Industrials,Farming/Seeds/Milling
ANEB,Health Care,Biotechnology: Pharmaceutical Preparations
ANET,Telecommunications,Computer Communications Equipment
ANF,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ANGI,Consumer Discretionary,Advertising
ANGO,Health Care,Medical/Dental Instruments
ANGX,Consumer Discretionary,Movies/Entertainment
ANIK,Health Care,Medical/Dental Instruments
ANIP,Health Care,Biotechnology: Pharmaceutical Preparations
ANIX,Health Care,Biotechnology: Pharmaceutical Preparations
ANL,Health Care,Biotechnology: Pharmaceutical Preparations
ANNA,Energy,Oil & Gas Production
ANNX,Health Care,Biotechnology: Pharmaceutical Preparations
ANPA,Consumer Discretionary,Other Consumer Services
ANRO,Health Care,Biotechnology: Pharmaceutical Preparations
ANTA,Finance,Investment Bankers/Brokers/Service
AOMR,Finance,Real Estate
AON,Finance,Specialty Insurers
AORT,Health Care,Medical/Dental Instruments
AOS,Consumer Discretionary,Consumer Electronics/Appliances
AOSL,Technology,Semiconductors
AOUT,Consumer Discretionary,Recreational Games/Products/Toys
APA,Energy,Oil & Gas Production
APAM,Finance,Investment Managers
APD,Basic Materials,Major Chemicals
APEI,Real Estate,Other Consumer Services
APG,Consumer Discretionary,Engineering & Construction
APGE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APH,Technology,Electrical Products
API,Technology,Computer Software: Prepackaged Software
APLD,Finance,Finance: Consumer Services
APLE,Real Estate,Real Estate Investment Trusts
APLS,Health Care,Biotechnology: Pharmaceutical Preparations
APLT,Health Care,Biotechnology: Pharmaceutical Preparations
APO,Finance,Investment Managers
APOG,Consumer Discretionary,Auto Parts:O.E.M.
APOS,Finance,Investment Managers
APP,Technology,Computer Software: Programming Data Processing
APPF,Technology,Computer Software: Prepackaged Software
APPN,Technology,Computer Software: Prepackaged Software
APPS,Miscellaneous,Multi-Sector Companies
APTV,Consumer Discretionary,Auto Parts:O.E.M.
APYX,Health Care,Medical/Dental Instruments
AQN,Utilities,Electric Utilities: Central
AQNB,Utilities,Electric Utilities: Central
AQST,Health Care,Biotechnology: Pharmaceutical Preparations
AR,Energy,Oil & Gas Production
ARAI,Consumer Discretionary,Diversified Commercial Services
ARAY,Health Care,Medical/Dental Instruments
ARBE,Technology,EDP Services
ARBKL,Finance,Finance: Consumer Services
ARCB,Industrials,Trucking Freight/Courier Services
ARCC,Finance,Finance: Consumer Services
ARCO,Consumer Discretionary,Restaurants
ARCT,Health Care,Biotechnology: Pharmaceutical Preparations
ARDC,Finance,Investment Managers
ARDT,Health Care,Hospital/Nursing Management
ARDX,Health Care,Biotechnology: Pharmaceutical Preparations
ARE,Real Estate,Real Estate Investment Trusts
AREC,Energy,Coal Mining
AREN,Technology,EDP Services
ARES,Finance,Investment Managers
ARGX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARHS,Consumer Discretionary,Other Specialty Stores
ARI,Real Estate,Real Estate Investment Trusts
ARIS,Energy,Oilfield Services/Equipment
ARKO,Consumer Staples,Food Chains
ARL,Real Estate,Other Consumer Services
ARLO,Consumer Staples,Consumer Electronics/Appliances
ARLP,Energy,Coal Mining
ARM,Technology,Semiconductors
ARMK,Consumer Discretionary,Restaurants
ARMP,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AROC,Utilities,Natural Gas Distribution
AROW,Finance,Major Banks
ARQ,Industrials,Major Chemicals
ARQQ,Technology,Computer Software: Prepackaged Software
ARQT,Health Care,Biotechnology: Pharmaceutical Preparations
ARR,Real Estate,Real Estate Investment Trusts
ARRY,Consumer Discretionary,Miscellaneous manufacturing industries
ARTNA,Utilities,Water Supply
ARTV,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARVN,Health Care,Biotechnology: Pharmaceutical Preparations
ARW,Technology,Electronic Components
ARWR,Health Care,Biotechnology: Pharmaceutical Preparations
ARX,Finance,Specialty Insurers
AS,Consumer Discretionary,Apparel
ASA,Industrials,Precious Metals
ASAN,Technology,Computer Software: Prepackaged Software
ASB,Finance,Major Banks
ASBA,Finance,Major Banks
ASC,Consumer Discretionary,Marine Transportation
ASGN,Consumer Discretionary,Professional Services
ASH,Consumer Discretionary,Specialty Chemicals
ASIC,Finance,Property-Casualty Insurers
ASIX,Industrials,Major Chemicals
ASLE,Consumer Discretionary,Industrial Specialties
ASM,Basic Materials,Metal Mining
ASMB,Health Care,Biotechnology: Pharmaceutical Preparations
ASML,Technology,Industrial Machinery/Components
ASND,Health Care,Biotechnology: Pharmaceutical Preparations
ASO,Consumer Discretionary,Other Specialty Stores
ASPI,Industrials,Major Chemicals
ASPN,Consumer Discretionary,RETAIL: Building Materials
ASPS,Consumer Discretionary,Other Consumer Services
ASR,Consumer Discretionary,Aerospace
ASRT,Health Care,Biotechnology: Pharmaceutical Preparations
ASST,Technology,Computer Software: Prepackaged Software
ASTE,Industrials,Construction/Ag Equipment/Trucks
ASTH,Consumer Discretionary,Professional Services
ASTL,Industrials,Steel/Iron Ore
ASTS,Consumer Discretionary,Telecommunications Equipment
ASUR,Technology,EDP Services
ASX,Technology,Semiconductors
ASYS,Technology,Industrial Machinery/Components
ATAI,Health Care,Biotechnology: Pharmaceutical Preparations
ATAT,Consumer Discretionary,Hotels/Resorts
ATCH,Finance,Finance: Consumer Services
ATEC,Health Care,Medical/Dental Instruments
ATEN,Telecommunications,Computer Communications Equipment
ATEX,Telecommunications,Telecommunications Equipment
ATGE,Real Estate,Other Consumer Services
ATGL,Technology,EDP Services
ATHE,Health Care,Biotechnology: Pharmaceutical Preparations
ATHM,Technology,EDP Services
ATHR,Technology,Computer Software: Prepackaged Software
ATHS,Finance,Life Insurance
ATI,Industrials,Steel/Iron Ore
ATKR,Miscellaneous,Industrial Machinery/Components
ATLC,Finance,Finance: Consumer Services
ATLCL,Finance,Finance: Consumer Services
ATLCP,Finance,Finance: Consumer Services
ATLCZ,Finance,Finance: Consumer Services
ATLN,Industrials,Biotechnology: Laboratory Analytical Instruments
ATLO,Finance,Major Banks
ATLX,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
ATMU,Consumer Discretionary,Auto Parts:O.E.M.
ATNI,Telecommunications,Telecommunications Equipment
ATO,Utilities,Oil/Gas Transmission
ATOM,Technology,Semiconductors
ATOS,Health Care,Biotechnology: Pharmaceutical Preparations
ATPC,Health Care,Medical/Nursing Services
ATR,Industrials,Plastic Products
ATRA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATRC,Health Care,Medical/Dental Instruments
ATRO,Industrials,Military/Government/Technical
ATS,Industrials,Industrial Machinery/Components
ATUS,Telecommunications,Cable & Other Pay Television Services
ATXS,Health Care,Biotechnology: Pharmaceutical Preparations
ATYR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AU,Basic Materials,Precious Metals
AUB,Finance,Major Banks
AUBN,Finance,Major Banks
AUDC,Utilities,Telecommunications Equipment
AUNA,Health Care,Medical/Nursing Services
AUPH,Health Care,Biotechnology: Pharmaceutical Preparations
AUR,Technology,EDP Services
AURA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUROW,Technology,EDP Services
AUTL,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVA,Utilities,Power Generation
AVAH,Health Care,Medical/Nursing Services
AVAL,Finance,Commercial Banks
AVAV,Industrials,Aerospace
AVB,Real Estate,Real Estate Investment Trusts
AVBC,Finance,Banks
AVBH,Finance,Commercial Banks
AVBP,Health Care,Biotechnology: Pharmaceutical Preparations
AVD,Industrials,Agricultural Chemicals
AVDL,Health Care,Biotechnology: Pharmaceutical Preparations
AVDX,Technology,Computer Software: Prepackaged Software
AVGO,Technology,Semiconductors
AVIR,Health Care,Biotechnology: Pharmaceutical Preparations
AVNS,Health Care,Industrial Specialties
AVNT,Industrials,Major Chemicals
AVNW,Technology,Radio And Television Broadcasting And Communications Equipment
AVO,Consumer Staples,Farming/Seeds/Milling
AVPT,Technology,Computer Software: Prepackaged Software
AVR,Health Care,Industrial Specialties
AVT,Technology,Electronic Components
AVTR,Industrials,Biotechnology: Laboratory Analytical Instruments
AVTX,Health Care,Biotechnology: Pharmaceutical Preparations
AVXL,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVY,Consumer Discretionary,Containers/Packaging
AWI,Industrials,Plastic Products
AWK,Utilities,Water Supply
AWR,Utilities,Water Supply
AWRE,Technology,Computer Software: Prepackaged Software
AX,Finance,Savings Institutions
AXGN,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AXL,Consumer Discretionary,Auto Parts:O.E.M.
AXON,Industrials,Ordnance And Accessories
AXP,Finance,Finance: Consumer Services
AXR,Real Estate,Homebuilding
AXS,Finance,Property-Casualty Insurers
AXSM,Health Care,Biotechnology: Pharmaceutical Preparations
AXTA,Consumer Discretionary,Paints/Coatings
AXTI,Technology,Semiconductors
AYI,Consumer Discretionary,Building Products
AZ,Industrials,Industrial Machinery/Components
AZN,Health Care,Biotechnology: Pharmaceutical Preparations
AZO,Consumer Discretionary,Auto & Home Supply Stores
AZTA,Technology,Industrial Machinery/Components
AZZ,Industrials,Industrial Specialties
B,Basic Materials,Precious Metals
BA,Industrials,Aerospace
BABA,Real Estate,Real Estate
BAC,Finance,Major Banks
BAER,Real Estate,Real Estate
BAH,Consumer Discretionary,Professional Services
BAK,Industrials,Major Chemicals
BALL,Industrials,Containers/Packaging
BALY,Consumer Discretionary,Hotels/Resorts
BAM,Consumer Discretionary,Other Consumer Services
BANC,Finance,Major Banks
BAND,Technology,Computer Software: Prepackaged Software
BANF,Finance,Major Banks
BANFP,Finance,Major Banks
BANR,Finance,Major Banks
BANX,Finance,Trusts Except Educational Religious and Charitable
BAP,Finance,Commercial Banks
BARK,Consumer Discretionary,Other Specialty Stores
BATRA,Consumer Discretionary,Services-Misc. Amusement & Recreation
BATRK,Consumer Discretionary,Services-Misc. Amusement & Recreation
BAX,Health Care,Medical/Dental Instruments
BB,Technology,Computer Software: Prepackaged Software
BBAI,Technology,Computer Software: Prepackaged Software
BBAR,Finance,Commercial Banks
BBBY,Consumer Discretionary,Catalog/Specialty Distribution
BBCP,Consumer Discretionary,Engineering & Construction
BBD,Finance,Major Banks
BBDC,Finance,Diversified Financial Services
BBDO,Finance,Major Banks
BBIO,Health Care,Biotechnology: Pharmaceutical Preparations
BBNX,Health Care,Medical/Dental Instruments
BBOT,Health Care,Biotechnology: Pharmaceutical Preparations
BBSI,Consumer Discretionary,Professional Services
BBT,Finance,Banks
BBU,Consumer Discretionary,Engineering & Construction
BBUC,Consumer Discretionary,Engineering & Construction
BBVA,Finance,Commercial Banks
BBW,Consumer Discretionary,Recreational Games/Products/Toys
BBWI,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BBY,Consumer Discretionary,Consumer Electronics/Video Chains
BC,Industrials,Industrial Machinery/Components
BCAL,Finance,Major Banks
BCAT,Finance,Finance/Investors Services
BCAX,Health Care,Biotechnology: Pharmaceutical Preparations
BCBP,Finance,Savings Institutions
BCC,Consumer Discretionary,RETAIL: Building Materials
BCE,Telecommunications,Telecommunications Equipment
BCH,Finance,Commercial Banks
BCIC,Finance,Finance: Consumer Services
BCML,Finance,Major Banks
BCO,Industrials,Integrated Freight & Logistics
BCPC,Industrials,Major Chemicals
BCRX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCS,Finance,Commercial Banks
BCSF,Finance,Finance/Investors Services
BCX,Finance,Finance/Investors Services
BCYC,Health Care,Biotechnology: Pharmaceutical Preparations
BDC,Industrials,Telecommunications Equipment
BDJ,Finance,Finance Companies
BDL,Consumer Discretionary,Restaurants
BDMD,Health Care,Medical/Dental Instruments
BDN,Real Estate,Real Estate Investment Trusts
BDSX,Health Care,Medical Specialities
BDTX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BDX,Health Care,Medical/Dental Instruments
BE,Energy,Industrial Machinery/Components
BEAM,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BEAT,Health Care,Medical/Dental Instruments
BEDU,Real Estate,Other Consumer Services
BEEM,Technology,Semiconductors
BEEP,Finance,Blank Checks
BEKE,Finance,Real Estate
BEN,Finance,Investment Managers
BEP,Utilities,Electric Utilities: Central
BEPC,Utilities,Electric Utilities: Central
BEPH,Utilities,Electric Utilities: Central
BEPI,Utilities,Electric Utilities: Central
BEPJ,Utilities,Electric Utilities: Central
BETR,Finance,Finance: Consumer Services
BFAM,Consumer Discretionary,Other Consumer Services
BFC,Finance,Major Banks
BFH,Real Estate,Real Estate
BFIN,Finance,Savings Institutions
BFLY,Health Care,Medical Electronics
BFS,Real Estate,Real Estate Investment Trusts
BFST,Finance,Major Banks
BG,Consumer Staples,Packaged Foods
BGC,Finance,Investment Bankers/Brokers/Service
BGL,Basic Materials,Metal Mining
BGM,Health Care,Biotechnology: Pharmaceutical Preparations
BGR,Finance,Trusts Except Educational Religious and Charitable
BGS,Consumer Staples,Packaged Foods
BH,Consumer Discretionary,Restaurants
BHB,Finance,Major Banks
BHC,Health Care,Biotechnology: Pharmaceutical Preparations
BHE,Technology,Electrical Products
BHF,Finance,Life Insurance
BHFAL,Finance,Life Insurance
BHFAM,Finance,Life Insurance
BHFAN,Finance,Life Insurance
BHFAO,Finance,Life Insurance
BHFAP,Finance,Life Insurance
BHP,Energy,Coal Mining
BHR,Real Estate,Real Estate Investment Trusts
BHRB,Finance,Major Banks
BHVN,Health Care,Biotechnology: Pharmaceutical Preparations
BIDU,Technology,Computer Software: Programming Data Processing
BIIB,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BILI,Technology,EDP Services
BILL,Technology,EDP Services
BIO,Industrials,Biotechnology: Laboratory Analytical Instruments
BIOA,Health Care,Biotechnology: Pharmaceutical Preparations
BIOX,Industrials,Agricultural Chemicals
BIP,Consumer Discretionary,Marine Transportation
BIPC,Consumer Discretionary,Marine Transportation
BIPH,Utilities,Oil & Gas Production
BIPI,Consumer Discretionary,Marine Transportation
BIPJ,Utilities,Oil & Gas Production
BIRK,Consumer Discretionary,Shoe Manufacturing
BITF,Finance,Finance: Consumer Services
BJ,Consumer Discretionary,Department/Specialty Retail Stores
BJRI,Consumer Discretionary,Restaurants
BK,Finance,Major Banks
BKD,Health Care,Hospital/Nursing Management
BKE,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BKH,Utilities,Electric Utilities: Central
BKKT,Finance,Finance: Consumer Services
BKNG,Consumer Discretionary,Transportation Services
BKR,Consumer Discretionary,Oil and Gas Field Machinery
BKSY,Technology,Radio And Television Broadcasting And Communications Equipment
BKT,Finance,Investment Bankers/Brokers/Service
BKTI,Technology,Radio And Television Broadcasting And Communications Equipment
BKU,Finance,Savings Institutions
BKV,Energy,Oil & Gas Production
BL,Technology,Computer Software: Prepackaged Software
BLBD,Consumer Discretionary,Construction/Ag Equipment/Trucks
BLCO,Health Care,Ophthalmic Goods
BLD,Consumer Discretionary,Engineering & Construction
BLDP,Energy,Industrial Machinery/Components
BLDR,Consumer Discretionary,RETAIL: Building Materials
BLFS,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BLFY,Finance,Banks
BLK,Finance,Investment Bankers/Brokers/Service
BLKB,Technology,Computer Software: Prepackaged Software
BLMN,Consumer Discretionary,Restaurants
BLND,Technology,Computer Software: Programming Data Processing
BLNE,Finance,Finance: Consumer Services
BLNK,Consumer Discretionary,Industrial Specialties
BLSH,Finance,Finance: Consumer Services
BLTE,Health Care,Biotechnology: Pharmaceutical Preparations
BLW,Consumer Discretionary,Other Consumer Services
BLX,Finance,Commercial Banks
BLZE,Technology,Computer Software: Prepackaged Software
BMA,Finance,Commercial Banks
BMBL,Technology,Computer Software: Programming Data Processing
BME,Finance,Trusts Except Educational Religious and Charitable
BMEA,Health Care,Biotechnology: Pharmaceutical Preparations
BMEZ,Finance,Trusts Except Educational Religious and Charitable
